Holiday_Date,Holiday_Name
20/07/2024,วันอาสาฬหบูชา
21/07/2024,วันเข้าพรรษา
22/07/2024,วันหยุดชดเชย วันอาสาฬหบูชา
28/07/2024,วันเฉลิมพระชนมพรรษา ร.10
29/07/2024,วันหยุดชดเชย วันเฉลิมพระชนมพรรษา ร.10
12/8/2024,วันแม่แห่งชาติ / วันเฉลิมพระชนมพรรษาสมเด็จพระนางเจ้าฯ สิริกิติ์
13/10/2024,วันคล้ายวันสวรรคต ร.9
14/10/2024,วันหยุดชดเชย วันคล้ายวันสวรรคต ร.9
23/10/2024,วันปิยมหาราช
5/12/2024,วันพ่อแห่งชาติ / วันคล้ายวันพระบรมราชสมภพ ร.9
10/12/2024,วันรัฐธรรมนูญ
31/12/2024,วันสิ้นปี
1/1/2025,วันขึ้นปีใหม่
12/2/2025,วันมาฆบูชา
6/4/2025,วันจักรี
7/4/2025,วันหยุดชดเชย วันจักรี
13/04/2025,วันสงกรานต์
14/04/2025,วันสงกรานต์
15/04/2025,วันสงกรานต์
16/04/2025,วันหยุดพิเศษ ช่วงเทศกาลสงกรานต์
1/5/2025,วันแรงงานแห่งชาติ
4/5/2025,วันฉัตรมงคล
5/5/2025,วันหยุดชดเชย วันฉัตรมงคล
11/5/2025,วันวิสาขบูชา
12/5/2025,วันหยุดชดเชย วันวิสาขบูชา
2/6/2025,วันหยุดพิเศษ
3/6/2025,วันเฉลิมพระชนมพรรษาสมเด็จพระนางเจ้าฯ พระบรมราชินีสุทิดา
10/7/2025,วันอาสาฬหบูชา
11/7/2025,วันเข้าพรรษา
28/07/2025,วันเฉลิมพระชนมพรรษา ร.10
12/8/2025,วันแม่แห่งชาติ
13/10/2025,วันคล้ายวันสวรรคต ร.9
23/10/2025,วันปิยมหาราช
5/12/2025,วันพ่อแห่งชาติ
10/12/2025,วันรัฐธรรมนูญ
31/12/2025,วันสิ้นปี
1/1/2026,วันขึ้นปีใหม่
2/1/2026,วันหยุดพิเศษ
3/3/2026,วันมาฆบูชา
6/4/2026,วันจักรี
13/04/2026,วันสงกรานต์
14/04/2026,วันสงกรานต์
15/04/2026,วันสงกรานต์
1/5/2026,วันแรงงานแห่งชาติ
4/5/2026,วันฉัตรมงคล
31/05/2026,วันวิสาขบูชา
1/6/2026,วันหยุดชดเชย วันวิสาขบูชา
3/6/2026,วันเฉลิมพระชนมพรรษาสมเด็จพระนางเจ้าฯ พระบรมราชินีสุทิดา
29/07/2026,วันอาสาฬหบูชา
30/07/2026,วันเข้าพรรษา
28/07/2026,วันเฉลิมพระชนมพรรษา ร.10
12/8/2026,วันแม่แห่งชาติ
13/10/2026,วันคล้ายวันสวรรคต ร.9
23/10/2026,วันปิยมหาราช
5/12/2026,วันพ่อแห่งชาติ
7/12/2026,วันหยุดชดเชย วันพ่อแห่งชาติ
10/12/2026,วันรัฐธรรมนูญ
31/12/2026,วันสิ้นปี
1/1/2027,วันขึ้นปีใหม่
22/02/2027,วันมาฆบูชา
6/4/2027,วันจักรี
13/04/2027,วันสงกรานต์
14/04/2027,วันสงกรานต์
15/04/2027,วันสงกรานต์
1/5/2027,วันแรงงานแห่งชาติ
4/5/2027,วันฉัตรมงคล
20/05/2027,วันวิสาขบูชา
3/6/2027,วันเฉลิมพระชนมพรรษาสมเด็จพระนางเจ้าฯ พระบรมราชินีสุทิดา
18/07/2027,วันอาสาฬหบูชา
19/07/2027,วันเข้าพรรษา
20/07/2027,วันหยุดชดเชย วันอาสาฬหบูชา
28/07/2027,วันเฉลิมพระชนมพรรษา ร.10
12/8/2027,วันแม่แห่งชาติ
13/10/2027,วันคล้ายวันสวรรคต ร.9
23/10/2027,วันปิยมหาราช
5/12/2027,วันพ่อแห่งชาติ
6/12/2027,วันหยุดชดเชย วันพ่อแห่งชาติ
10/12/2027,วันรัฐธรรมนูญ
31/12/2027,วันสิ้นปี
1/1/2028,วันขึ้นปีใหม่
3/1/2028,วันหยุดชดเชย วันขึ้นปีใหม่
10/2/2028,วันมาฆบูชา
6/4/2028,วันจักรี
